dataset,isInStrictBlockingDecay,isInStrictBlockingNoDecay,isSemanticRoleMatch,compatibilityPercentageDecay,compatibilityPercentageNoDecay
tv_and_film,false,false,false,0.6839080459770115,0.6781609195402298
tv_and_film,false,false,false,0.5574712643678161,0.2442528735632184
tv_and_film,true,false,true,1.0,0.9985632183908046
tv_and_film,false,false,false,0.6867816091954023,0.6867816091954023
tv_and_film,true,true,false,1.0,1.0
tv_and_film,false,false,false,0.9971264367816092,0.9971264367816092
tv_and_film,true,false,false,1.0,0.7873563218390804
tv_and_film,true,true,false,1.0,1.0
tv_and_film,true,false,false,1.0,0.8620689655172413
tv_and_film,true,true,false,1.0,1.0
tv_and_film,false,false,false,0.9137931034482759,0.8520114942528736
tv_and_film,false,false,false,0.8836206896551724,0.6997126436781609
tv_and_film,false,false,false,0.9281609195402298,0.382183908045977
tv_and_film,false,false,false,0.7327586206896551,0.7140804597701149
tv_and_film,true,true,false,1.0,1.0
tv_and_film,false,false,false,0.5014367816091954,0.46551724137931033
tv_and_film,false,false,false,0.9956896551724138,0.9956896551724138
tv_and_film,false,false,false,0.6479885057471264,0.6479885057471264
tv_and_film,true,true,false,1.0,1.0
tv_and_film,false,false,false,0.9209770114942529,0.9209770114942529
tv_and_film,true,false,false,1.0,0.9454022988505747
tv_and_film,false,false,false,0.6307471264367817,0.5632183908045977
tv_and_film,true,true,false,1.0,1.0
tv_and_film,false,false,false,0.9267241379310345,0.9267241379310345
tv_and_film,false,false,false,0.7600574712643678,0.6954022988505747
tv_and_film,true,true,true,1.0,1.0
tv_and_film,true,true,true,1.0,1.0
tv_and_film,false,false,false,0.5833333333333334,0.375
tv_and_film,true,false,false,1.0,0.9813218390804598
tv_and_film,false,false,false,0.3275862068965517,0.2859195402298851
tv_and_film,false,false,false,0.6048850574712644,0.44971264367816094
tv_and_film,false,false,false,0.7514367816091954,0.6048850574712644
tv_and_film,true,false,false,1.0,0.6537356321839081
tv_and_film,true,true,false,1.0,1.0
tv_and_film,false,false,false,0.9497126436781609,0.9497126436781609
tv_and_film,false,false,false,0.6091954022988506,0.28304597701149425
tv_and_film,true,false,false,1.0,0.8419540229885057
tv_and_film,true,false,false,1.0,0.5617816091954023
tv_and_film,true,true,false,1.0,1.0
tv_and_film,true,true,false,1.0,1.0
tv_and_film,false,false,false,0.7140804597701149,0.7140804597701149
tv_and_film,false,false,false,0.5862068965517241,0.27298850574712646
tv_and_film,false,false,false,0.6709770114942529,0.6709770114942529
tv_and_film,false,false,false,0.7629310344827587,0.45545977011494254
tv_and_film,true,false,false,1.0,0.44971264367816094
tv_and_film,true,true,false,1.0,1.0
tv_and_film,true,true,true,1.0,1.0
tv_and_film,false,false,false,0.6566091954022989,0.5818965517241379
tv_and_film,false,false,false,0.6307471264367817,0.41810344827586204
tv_and_film,true,false,false,1.0,0.992816091954023
tv_and_film,true,true,false,1.0,1.0
tv_and_film,false,false,false,0.9224137931034483,0.6968390804597702
tv_and_film,false,false,false,0.9252873563218391,0.5158045977011494
tv_and_film,true,true,true,1.0,1.0
tv_and_film,false,false,false,0.7140804597701149,0.646551724137931
tv_and_film,false,false,false,0.882183908045977,0.8333333333333334
tv_and_film,true,false,false,1.0,0.514367816091954
tv_and_film,true,true,false,1.0,1.0
tv_and_film,false,false,false,0.9755747126436781,0.375
tv_and_film,true,true,true,1.0,1.0
tv_and_film,true,true,true,1.0,1.0
tv_and_film,false,false,false,0.8649425287356322,0.8649425287356322
tv_and_film,false,false,false,0.8333333333333334,0.5847701149425287
tv_and_film,false,false,false,0.7772988505747126,0.7140804597701149
tv_and_film,false,false,false,0.7887931034482759,0.7887931034482759
tv_and_film,true,false,false,1.0,0.9956896551724138
tv_and_film,true,true,false,1.0,1.0
tv_and_film,false,false,false,0.5186781609195402,0.3807471264367816
tv_and_film,false,false,false,0.7399425287356322,0.7399425287356322
tv_and_film,false,false,false,0.6336206896551724,0.34051724137931033
tv_and_film,false,false,false,0.7485632183908046,0.7485632183908046
tv_and_film,false,false,false,0.7255747126436781,0.7011494252873564
tv_and_film,false,false,false,0.742816091954023,0.4382183908045977
tv_and_film,true,false,false,1.0,0.9698275862068966
tv_and_film,false,false,false,0.8247126436781609,0.6264367816091954
tv_and_film,true,false,false,1.0,0.6508620689655172
tv_and_film,false,false,false,0.7298850574712644,0.4281609195402299
tv_and_film,false,false,false,0.5373563218390804,0.5373563218390804
tv_and_film,true,true,false,1.0,1.0
tv_and_film,false,false,false,0.9540229885057471,0.9540229885057471
tv_and_film,false,false,false,0.9295977011494253,0.9094827586206896
tv_and_film,false,false,false,0.7586206896551724,0.6781609195402298
tv_and_film,true,true,false,1.0,1.0
tv_and_film,false,false,false,0.6120689655172413,0.4382183908045977
tv_and_film,true,true,true,1.0,1.0
tv_and_film,true,true,false,1.0,1.0
tv_and_film,false,false,false,0.7744252873563219,0.7686781609195402
tv_and_film,true,true,false,1.0,1.0
tv_and_film,false,false,false,0.7758620689655172,0.7442528735632183
tv_and_film,false,false,false,0.8908045977011494,0.8362068965517241
tv_and_film,true,true,true,1.0,1.0
tv_and_film,false,false,false,0.9209770114942529,0.9209770114942529
tv_and_film,true,false,false,1.0,0.9985632183908046
tv_and_film,false,false,false,0.5747126436781609,0.5301724137931034
tv_and_film,false,false,false,0.5747126436781609,0.34913793103448276
tv_and_film,true,true,true,1.0,1.0
tv_and_film,false,false,false,0.867816091954023,0.37212643678160917
tv_and_film,false,false,false,0.6364942528735632,0.6364942528735632
tv_and_film,false,false,false,0.5574712643678161,0.39080459770114945
tv_and_film,false,false,false,0.45689655172413796,0.4209770114942529
tv_and_film,false,false,false,0.9727011494252874,0.9727011494252874
tv_and_film,true,false,false,1.0,0.9425287356321839
tv_and_film,false,false,false,0.521551724137931,0.2413793103448276
tv_and_film,true,true,true,1.0,1.0
tv_and_film,true,false,false,1.0,0.4985632183908046
tv_and_film,true,true,false,1.0,1.0
tv_and_film,false,false,false,0.5574712643678161,0.4482758620689655
tv_and_film,false,false,true,0.6594827586206896,0.6594827586206896
tv_and_film,true,false,false,1.0,0.8204022988505747
tv_and_film,true,false,false,1.0,0.7586206896551724
tv_and_film,true,true,true,1.0,1.0
tv_and_film,true,true,false,1.0,1.0
tv_and_film,false,false,false,0.7155172413793104,0.382183908045977
tv_and_film,true,true,true,1.0,1.0
tv_and_film,true,true,false,1.0,1.0
tv_and_film,false,false,false,0.7686781609195402,0.5244252873563219
tv_and_film,false,false,false,0.8376436781609196,0.7686781609195402
tv_and_film,false,false,false,0.7485632183908046,0.7485632183908046
tv_and_film,true,false,false,1.0,0.6623563218390804
tv_and_film,false,false,true,0.5416666666666666,0.4396551724137931
tv_and_film,true,true,false,1.0,1.0
tv_and_film,false,false,false,0.9137931034482759,0.860632183908046
tv_and_film,true,true,false,1.0,1.0
tv_and_film,true,true,false,1.0,1.0
tv_and_film,false,false,false,0.7974137931034483,0.6839080459770115
tv_and_film,false,false,false,0.882183908045977,0.4511494252873563
tv_and_film,false,false,false,0.507183908045977,0.507183908045977
tv_and_film,false,false,false,0.6709770114942529,0.5502873563218391
tv_and_film,false,false,false,0.7241379310344828,0.6925287356321839
tv_and_film,false,false,true,0.992816091954023,0.992816091954023
tv_and_film,true,false,false,1.0,0.9971264367816092
tv_and_film,false,false,false,0.6537356321839081,0.47701149425287354
tv_and_film,false,false,false,0.875,0.5790229885057471
tv_and_film,false,false,false,0.5301724137931034,0.5043103448275862
tv_and_film,false,false,false,0.7528735632183908,0.3103448275862069
tv_and_film,true,true,true,1.0,1.0
tv_and_film,true,true,false,1.0,1.0
tv_and_film,true,false,false,1.0,0.9568965517241379
tv_and_film,true,true,true,1.0,1.0
tv_and_film,false,false,false,0.9396551724137931,0.9396551724137931
tv_and_film,false,false,false,0.8620689655172413,0.8433908045977011
tv_and_film,false,false,false,0.6135057471264368,0.24568965517241378
tv_and_film,false,false,false,0.8850574712643678,0.4870689655172414
tv_and_film,false,false,false,0.8951149425287356,0.8951149425287356
tv_and_film,false,false,false,0.7270114942528736,0.4698275862068966
tv_and_film,true,true,false,1.0,1.0
tv_and_film,false,false,false,0.6522988505747126,0.6522988505747126
tv_and_film,false,false,false,0.6795977011494253,0.6364942528735632
tv_and_film,true,true,false,1.0,1.0
tv_and_film,false,false,false,0.6724137931034483,0.6724137931034483
tv_and_film,true,true,false,1.0,1.0
tv_and_film,false,false,false,0.8649425287356322,0.8649425287356322
tv_and_film,true,true,false,1.0,1.0
tv_and_film,false,false,false,0.9195402298850575,0.9195402298850575
tv_and_film,false,false,true,0.5747126436781609,0.38936781609195403
tv_and_film,true,false,false,1.0,0.992816091954023
tv_and_film,true,false,false,1.0,0.9540229885057471
tv_and_film,false,false,false,0.9123563218390804,0.4985632183908046
tv_and_film,true,true,false,1.0,1.0
tv_and_film,false,false,false,0.8318965517241379,0.8318965517241379
tv_and_film,true,false,false,1.0,0.6077586206896551
tv_and_film,false,false,false,0.492816091954023,0.492816091954023
tv_and_film,false,false,false,0.8807471264367817,0.45545977011494254
tv_and_film,false,false,false,0.9181034482758621,0.7859195402298851
tv_and_film,false,false,false,0.8117816091954023,0.5517241379310345
tv_and_film,true,false,true,1.0,0.9827586206896551
tv_and_film,true,false,false,1.0,0.6120689655172413
tv_and_film,false,false,false,1.0,1.0
tv_and_film,true,false,false,1.0,0.9712643678160919
tv_and_film,false,false,false,0.3635057471264368,0.3635057471264368
tv_and_film,false,false,false,0.8692528735632183,0.8692528735632183
tv_and_film,false,false,false,0.8060344827586207,0.8060344827586207
tv_and_film,false,false,false,0.6724137931034483,0.5617816091954023
tv_and_film,false,false,false,0.8419540229885057,0.5186781609195402
tv_and_film,true,true,false,1.0,1.0
tv_and_film,true,false,false,1.0,0.6982758620689655
tv_and_film,true,true,true,1.0,1.0
tv_and_film,true,true,false,1.0,1.0
tv_and_film,true,true,true,1.0,1.0
tv_and_film,false,false,false,0.9612068965517241,0.9612068965517241
tv_and_film,false,false,false,0.8477011494252874,0.4885057471264368
tv_and_film,false,false,false,0.7399425287356322,0.7083333333333334
tv_and_film,true,true,false,1.0,1.0
tv_and_film,true,true,true,1.0,1.0
tv_and_film,false,false,false,0.4396551724137931,0.4396551724137931
tv_and_film,false,false,false,0.8577586206896551,0.8577586206896551
tv_and_film,true,true,false,1.0,1.0
tv_and_film,true,true,true,1.0,1.0
tv_and_film,false,false,false,0.7859195402298851,0.4353448275862069
tv_and_film,true,true,false,1.0,1.0
tv_and_film,true,true,false,1.0,1.0
tv_and_film,true,false,false,1.0,0.8362068965517241
tv_and_film,true,false,false,1.0,0.6896551724137931
tv_and_film,true,false,false,1.0,0.7974137931034483
tv_and_film,false,false,false,0.4382183908045977,0.4382183908045977
tv_and_film,false,false,false,0.9482758620689655,0.35201149425287354
tv_and_film,false,false,false,0.7198275862068966,0.7198275862068966
tv_and_film,true,false,false,1.0,0.7801724137931034
tv_and_film,false,false,false,0.6954022988505747,0.5833333333333334
tv_and_film,false,false,false,0.9181034482758621,0.7931034482758621
tv_and_film,true,true,false,1.0,1.0
tv_and_film,false,false,true,0.9525862068965517,0.9238505747126436
tv_and_film,false,false,false,0.9870689655172413,0.7830459770114943
tv_and_film,false,false,false,0.985632183908046,0.49137931034482757
tv_and_film,false,false,false,0.6896551724137931,0.6551724137931034
tv_and_film,false,false,false,0.8836206896551724,0.46264367816091956
tv_and_film,false,false,false,0.8117816091954023,0.4209770114942529
tv_and_film,false,false,false,0.9755747126436781,0.9755747126436781
tv_and_film,false,false,false,0.7916666666666666,0.7916666666666666
tv_and_film,false,false,false,0.9770114942528736,0.8951149425287356
tv_and_film,false,false,false,0.6451149425287356,0.5545977011494253
tv_and_film,false,false,false,0.8663793103448276,0.8663793103448276
tv_and_film,false,false,false,0.764367816091954,0.47413793103448276
tv_and_film,false,false,false,0.6192528735632183,0.41235632183908044
tv_and_film,false,false,false,0.6666666666666666,0.6566091954022989
tv_and_film,false,false,false,0.9827586206896551,0.9827586206896551
tv_and_film,false,false,false,0.7126436781609196,0.5675287356321839
tv_and_film,false,false,false,0.7931034482758621,0.5158045977011494
tv_and_film,false,false,false,0.9022988505747126,0.9022988505747126
tv_and_film,false,false,false,0.7672413793103449,0.7341954022988506
tv_and_film,false,false,false,0.6278735632183908,0.6091954022988506
tv_and_film,false,false,false,0.6997126436781609,0.4698275862068966
tv_and_film,false,false,false,0.9497126436781609,0.5502873563218391
tv_and_film,true,false,false,1.0,0.9612068965517241
tv_and_film,false,false,false,0.6767241379310345,0.5488505747126436
tv_and_film,false,false,false,0.9295977011494253,0.742816091954023
tv_and_film,false,false,false,0.882183908045977,0.5804597701149425
tv_and_film,true,false,false,1.0,0.9899425287356322
tv_and_film,false,false,false,0.8261494252873564,0.5
tv_and_film,false,false,false,0.9640804597701149,0.875
tv_and_film,false,false,false,0.5876436781609196,0.5876436781609196
tv_and_film,true,false,false,1.0,0.7744252873563219
tv_and_film,false,false,false,0.8362068965517241,0.7040229885057471
tv_and_film,false,false,false,0.882183908045977,0.6163793103448276
tv_and_film,false,false,false,0.8333333333333334,0.5272988505747126
tv_and_film,false,false,false,0.8936781609195402,0.5301724137931034
tv_and_film,false,false,false,0.771551724137931,0.41235632183908044
tv_and_film,false,false,false,0.7931034482758621,0.7931034482758621
tv_and_film,true,true,false,1.0,1.0
tv_and_film,false,false,false,0.7341954022988506,0.6192528735632183
tv_and_film,false,false,false,0.5948275862068966,0.33764367816091956
tv_and_film,false,false,false,0.7011494252873564,0.6379310344827587
tv_and_film,false,false,false,0.8505747126436781,0.5718390804597702
tv_and_film,false,false,false,0.8692528735632183,0.5201149425287356
tv_and_film,true,false,false,1.0,0.9080459770114943
tv_and_film,false,false,false,0.6853448275862069,0.5272988505747126
tv_and_film,false,false,false,0.8951149425287356,0.8951149425287356
tv_and_film,true,false,false,1.0,0.9008620689655172
tv_and_film,false,false,false,0.9870689655172413,0.8850574712643678
tv_and_film,false,false,false,0.867816091954023,0.7528735632183908
tv_and_film,false,false,false,0.8764367816091954,0.40373563218390807
tv_and_film,false,false,false,0.8706896551724138,0.8491379310344828
tv_and_film,false,false,false,0.7183908045977011,0.7183908045977011
tv_and_film,false,false,false,0.7413793103448276,0.7413793103448276
tv_and_film,true,true,false,1.0,1.0
tv_and_film,false,false,false,0.5818965517241379,0.24856321839080459
tv_and_film,false,false,false,0.9612068965517241,0.7528735632183908
tv_and_film,false,false,false,0.8505747126436781,0.6422413793103449
tv_and_film,false,false,false,0.9310344827586207,0.4956896551724138
tv_and_film,false,false,false,0.7241379310344828,0.34339080459770116
tv_and_film,false,false,false,0.9195402298850575,0.9195402298850575
tv_and_film,false,false,false,0.9985632183908046,0.8074712643678161
tv_and_film,false,false,false,0.8649425287356322,0.6709770114942529
tv_and_film,false,false,false,0.8146551724137931,0.7169540229885057
tv_and_film,false,false,false,0.8462643678160919,0.8462643678160919
tv_and_film,false,false,false,0.9655172413793104,0.3204022988505747
tv_and_film,false,false,false,0.8433908045977011,0.47413793103448276
tv_and_film,false,false,false,0.742816091954023,0.742816091954023
tv_and_film,false,false,false,0.8419540229885057,0.8419540229885057
tv_and_film,false,false,false,0.8347701149425287,0.7155172413793104
tv_and_film,false,false,false,0.8031609195402298,0.5316091954022989
