dataset,countNoDecay,countDecay
austintexas,1317021,1317021
chicago,647912,647912
oregon,48555,48555
utah,10427,10427
maryland,149890,149890
education,2949,6565
tv_and_film,10947,46424
politics,4103,6049
military,32269,37498
football,977380,9715285
