nthreads,dataset,timeInSeconds
1,chicago,595
1,football,19441
2,chicago,298
2,football,12209
4,chicago,245
4,football,9894
8,chicago,244
8,football,9298
16,chicago,221
16,football,8322
32,chicago,214
32,football,8339
